id,age,job,marital,education,preferred_contact,balance,loan_house,loan_personal,n_marketing_contacts,marketing_potential,call_length,investment,period
2234,50,blue-collar,married,tertiary,cellular,5423,yes,no,0,NA,75,0,0
2235,30,services,single,secondary,cellular,194,yes,no,3,NA,74,0,0
2236,35,services,married,secondary,NA,1659,yes,no,0,NA,197,0,0
2237,50,technician,married,secondary,NA,8001,no,no,0,NA,52,0,0
2238,32,blue-collar,married,secondary,cellular,10142,yes,no,0,NA,249,0,0
2239,50,blue-collar,married,secondary,cellular,-731,yes,no,0,NA,401,0,0
2240,38,technician,married,tertiary,cellular,1004,yes,no,0,NA,444,0,0
2241,58,blue-collar,married,secondary,cellular,72,no,no,0,NA,235,0,0
2242,38,blue-collar,married,primary,cellular,1327,yes,no,0,NA,277,0,0
2243,33,services,married,secondary,cellular,312,yes,yes,0,NA,7,0,0
2244,56,blue-collar,married,primary,cellular,3498,no,no,0,NA,264,940.03,0
2245,57,entrepreneur,married,tertiary,NA,958,no,no,0,NA,250,0,0
2246,26,admin.,married,secondary,cellular,354,yes,no,5,NA,282,0,0
2247,39,blue-collar,married,primary,NA,4608,yes,no,0,NA,36,0,0
2248,26,management,single,tertiary,cellular,1094,yes,no,0,NA,137,351.33,0
2249,36,admin.,married,secondary,cellular,540,no,yes,0,NA,95,0,0
2250,40,technician,single,tertiary,cellular,1646,yes,no,3,high,392,412.44,0
2251,32,entrepreneur,married,primary,cellular,3083,no,no,0,NA,271,0,0
2252,56,retired,married,primary,telephone,1448,yes,yes,0,NA,16,0,0
2253,32,blue-collar,divorced,secondary,cellular,8,yes,no,0,NA,226,0,0
2254,58,technician,married,tertiary,telephone,289,no,no,0,NA,182,0,0
2255,46,services,married,secondary,cellular,561,yes,no,7,low,84,0,0
2256,45,blue-collar,single,secondary,NA,143,no,no,0,NA,201,0,0
2257,49,management,divorced,secondary,cellular,613,no,yes,0,NA,301,0,0
2258,34,technician,married,secondary,cellular,0,yes,no,0,NA,429,0,0
2259,42,services,single,secondary,cellular,182,no,yes,0,NA,394,0,0
2260,41,admin.,single,NA,cellular,419,yes,no,3,low,442,0,0
2261,40,blue-collar,married,secondary,cellular,1515,yes,no,0,NA,503,567.32,0
2262,49,blue-collar,married,secondary,cellular,102,no,no,0,NA,210,0,0
2263,50,unemployed,married,secondary,cellular,1772,no,no,0,NA,206,0,0
2264,53,technician,married,secondary,cellular,1344,no,no,0,NA,85,0,0
2265,43,management,married,tertiary,NA,-3372,yes,no,0,NA,386,0,0
2266,42,blue-collar,married,secondary,cellular,413,yes,no,2,high,456,333.2,0
2267,34,self-employed,married,primary,cellular,252,yes,yes,0,NA,654,0,0
2268,35,blue-collar,married,primary,NA,4366,yes,no,0,NA,173,0,0
2269,39,blue-collar,married,primary,NA,1564,no,no,0,NA,57,0,0
2270,30,blue-collar,married,secondary,cellular,319,no,no,0,NA,210,0,0
2271,46,unemployed,married,secondary,telephone,46,no,no,0,NA,74,0,0
2272,38,self-employed,married,tertiary,cellular,1029,no,no,0,NA,42,0,0
2273,55,management,married,tertiary,NA,5804,no,no,0,NA,56,0,0
2274,29,admin.,single,tertiary,cellular,14,no,no,1,low,87,0,0
2275,41,blue-collar,married,secondary,NA,1165,no,no,0,NA,69,0,0
2276,35,management,divorced,tertiary,cellular,141,no,yes,0,NA,728,102.19,0
2277,28,student,single,secondary,telephone,970,no,no,0,NA,297,0,0
2278,29,management,single,tertiary,cellular,985,yes,no,0,NA,396,345.81,0
2279,36,management,divorced,tertiary,cellular,0,no,no,0,NA,1165,245.45,0
2280,31,management,single,tertiary,cellular,2,no,no,0,NA,848,266.71,0
2281,27,management,single,tertiary,cellular,1720,no,no,1,low,284,422.34,0
2282,30,management,single,tertiary,NA,1724,yes,no,0,NA,73,0,0
2283,44,management,married,tertiary,cellular,724,yes,no,1,low,157,0,0
2284,34,technician,single,secondary,cellular,201,no,no,0,NA,257,0,0
2285,46,services,married,NA,cellular,12839,yes,no,0,NA,228,0,0
2286,29,services,single,secondary,NA,-72,yes,no,0,NA,208,0,0
2287,46,technician,divorced,secondary,cellular,111,yes,no,2,NA,178,0,0
2288,28,technician,single,tertiary,cellular,1026,yes,no,0,NA,101,0,0
2289,47,technician,married,primary,cellular,1280,no,no,0,NA,51,0,0
2290,64,retired,married,tertiary,cellular,846,no,no,3,low,671,446.94,0
2291,41,technician,single,tertiary,cellular,431,no,no,3,high,128,0,0
2292,46,technician,married,secondary,NA,179,no,yes,0,NA,129,0,0
2293,59,management,married,primary,cellular,2345,yes,no,0,NA,399,0,0
2294,44,blue-collar,married,secondary,cellular,2979,yes,no,3,NA,18,0,0
2295,59,retired,divorced,secondary,NA,1026,no,no,0,NA,669,350.95,0
2296,49,blue-collar,married,primary,NA,953,yes,no,0,NA,278,0,0
2297,33,management,married,tertiary,cellular,149,yes,yes,0,NA,153,0,0
2298,55,services,married,tertiary,cellular,2877,no,no,2,NA,305,0,0
2299,35,management,single,tertiary,cellular,635,no,no,0,NA,547,0,0
2300,29,blue-collar,single,secondary,cellular,223,no,no,0,NA,1259,0,0
2301,39,blue-collar,married,secondary,NA,1042,yes,no,0,NA,58,0,0
2302,50,services,married,secondary,cellular,57435,yes,no,0,NA,319,0,0
2303,33,technician,single,secondary,cellular,151,yes,no,0,NA,86,0,0
2304,39,self-employed,married,tertiary,cellular,5,yes,no,1,NA,118,0,0
2305,59,blue-collar,married,primary,cellular,99,yes,no,3,low,43,0,0
2306,28,admin.,single,secondary,cellular,27,no,no,0,NA,294,0,0
2307,36,blue-collar,married,primary,telephone,0,yes,yes,0,NA,18,0,0
2308,60,management,married,NA,NA,6313,no,no,0,NA,39,0,0
2309,42,self-employed,divorced,tertiary,cellular,5331,no,yes,0,NA,135,0,0
2310,48,services,divorced,secondary,NA,403,yes,no,0,NA,364,0,0
2311,37,technician,married,primary,NA,0,yes,no,0,NA,76,0,0
2312,30,blue-collar,married,secondary,cellular,322,yes,no,1,NA,190,0,0
2313,49,admin.,married,tertiary,cellular,8413,no,no,0,NA,131,0,0
2314,59,unemployed,married,secondary,cellular,4497,yes,no,1,low,213,0,0
2315,30,management,single,tertiary,cellular,1435,yes,no,0,NA,104,0,0
2316,56,blue-collar,married,NA,cellular,982,yes,yes,0,NA,135,0,0
2317,66,retired,married,primary,cellular,1943,no,no,0,NA,401,0,0
2318,32,services,single,secondary,NA,121,yes,no,0,NA,213,0,0
2319,39,blue-collar,married,primary,NA,295,yes,no,0,NA,38,0,0
2320,34,technician,married,secondary,cellular,1035,no,no,0,NA,1374,454.3,0
2321,32,unemployed,married,secondary,cellular,2400,yes,yes,0,NA,450,0,0
2322,42,management,married,tertiary,NA,1823,yes,no,0,NA,31,0,0
2323,60,retired,divorced,tertiary,cellular,380,no,no,0,NA,219,0,0
2324,29,technician,married,secondary,cellular,132,yes,yes,0,NA,88,0,0
2325,32,admin.,single,secondary,NA,91,yes,no,0,NA,302,0,0
2326,42,blue-collar,married,secondary,NA,-921,yes,no,0,NA,115,0,0
2327,44,management,divorced,tertiary,telephone,0,yes,no,0,NA,146,0,0
2328,39,management,divorced,tertiary,cellular,81,yes,yes,0,NA,49,0,0
2329,55,unemployed,married,secondary,cellular,3982,no,no,0,NA,89,0,0
2330,52,unemployed,married,primary,cellular,-110,no,yes,0,NA,141,0,0
2331,33,technician,single,tertiary,telephone,125,no,no,0,NA,66,0,0
2332,44,management,married,tertiary,cellular,226,yes,no,0,NA,76,0,0
2333,37,admin.,married,secondary,cellular,581,yes,yes,0,NA,203,0,0
2334,51,services,married,secondary,cellular,-437,no,yes,0,NA,130,0,0
2335,51,management,married,tertiary,NA,3134,no,no,0,NA,92,0,0
2336,57,services,married,secondary,NA,1166,no,no,0,NA,106,0,0
2337,57,retired,single,secondary,cellular,976,yes,no,0,NA,98,0,0
2338,37,self-employed,married,secondary,cellular,415,yes,no,0,NA,249,0,0
2339,38,technician,married,secondary,cellular,565,no,no,0,NA,93,0,0
2340,72,retired,married,NA,telephone,1940,no,no,0,NA,705,633.57,0
2341,80,retired,married,secondary,cellular,462,no,no,0,NA,127,0,0
2342,37,technician,married,secondary,cellular,807,yes,no,4,low,807,0,0
2343,53,technician,married,primary,cellular,6181,no,no,3,NA,817,1477.17,0
2344,41,admin.,married,tertiary,NA,5426,yes,no,0,NA,149,0,0
2345,35,technician,married,secondary,cellular,1140,yes,no,0,NA,69,0,0
2346,33,management,married,tertiary,cellular,3301,yes,no,0,NA,536,0,0
2347,34,admin.,married,secondary,cellular,444,yes,no,0,NA,173,0,0
2348,51,blue-collar,married,primary,cellular,-272,no,yes,0,NA,121,0,0
2349,25,student,single,secondary,telephone,331,no,no,0,NA,170,279.58,0
2350,36,services,married,secondary,NA,8114,yes,no,0,NA,505,0,0
2351,32,admin.,married,secondary,NA,277,yes,no,0,NA,231,0,0
2352,35,technician,married,secondary,cellular,580,yes,no,1,low,180,0,0
2353,34,technician,married,secondary,cellular,2,yes,no,0,NA,324,0,0
2354,34,admin.,single,secondary,NA,10,no,yes,0,NA,310,0,0
2355,53,blue-collar,single,primary,NA,-137,yes,yes,0,NA,72,0,0
2356,40,student,married,secondary,NA,260,no,no,0,NA,197,0,0
2357,43,technician,single,secondary,cellular,214,yes,no,0,NA,335,0,0
2358,43,technician,married,secondary,NA,674,yes,yes,0,NA,412,0,0
2359,35,technician,married,secondary,NA,51,yes,no,0,NA,824,0,0
2360,49,unemployed,married,tertiary,cellular,-471,yes,no,7,low,77,0,0
2361,57,management,single,tertiary,NA,33,yes,no,0,NA,132,0,0
2362,30,management,married,tertiary,cellular,4874,yes,no,0,NA,134,0,0
2363,29,services,single,secondary,cellular,40,yes,no,2,low,105,0,0
2364,31,blue-collar,single,primary,NA,-502,yes,no,0,NA,76,0,0
2365,35,blue-collar,married,secondary,NA,1949,yes,no,0,NA,200,0,0
2366,56,technician,divorced,secondary,cellular,5,no,no,0,NA,98,0,0
2367,33,management,married,tertiary,cellular,71,no,no,1,low,136,0,0
2368,38,self-employed,married,secondary,telephone,187,no,yes,0,NA,66,0,0
2369,40,housemaid,married,primary,cellular,34,no,no,0,NA,115,0,0
2370,44,admin.,married,secondary,cellular,266,yes,no,0,NA,294,0,0
2371,51,technician,married,secondary,cellular,0,yes,no,0,NA,70,0,0
2372,26,technician,single,secondary,NA,668,yes,no,0,NA,576,343.05,0
2373,48,blue-collar,married,secondary,cellular,685,yes,no,0,NA,387,0,0
2374,54,technician,married,secondary,cellular,87,yes,no,9,low,20,0,0
2375,38,technician,married,tertiary,cellular,3234,no,no,2,high,281,0,0
2376,35,technician,married,secondary,cellular,1577,yes,yes,1,low,80,0,0
2377,45,admin.,married,secondary,cellular,434,no,no,0,NA,76,0,0
2378,32,technician,married,secondary,NA,1830,yes,no,0,NA,293,0,0
2379,31,admin.,single,secondary,NA,296,yes,no,0,NA,161,0,0
2380,51,technician,divorced,tertiary,cellular,4143,no,no,0,NA,171,0,0
2381,39,technician,single,secondary,cellular,1,no,no,0,NA,111,0,0
2382,47,technician,married,secondary,telephone,568,yes,no,0,NA,256,0,0
2383,50,services,married,secondary,cellular,2362,yes,yes,0,NA,59,0,0
2384,54,blue-collar,divorced,primary,cellular,10374,yes,no,2,NA,283,0,0
2385,57,housemaid,married,primary,NA,625,no,yes,0,NA,867,140.42,0
2386,29,unemployed,single,primary,cellular,34,no,no,0,NA,227,0,0
2387,29,blue-collar,married,secondary,cellular,64,yes,no,3,low,444,0,0
2388,57,services,married,secondary,cellular,6,no,no,0,NA,1182,0,0
2389,46,blue-collar,married,secondary,telephone,1583,yes,no,7,low,175,0,0
2390,34,management,single,tertiary,cellular,2576,yes,yes,0,NA,236,0,0
2391,32,management,single,secondary,telephone,388,no,no,0,NA,846,0,0
2392,37,admin.,married,tertiary,cellular,0,yes,no,0,NA,115,0,0
2393,55,technician,single,secondary,NA,3339,yes,no,0,NA,63,0,0
2394,31,services,single,secondary,cellular,900,yes,no,4,NA,321,0,0
2395,39,admin.,single,secondary,NA,2854,yes,no,0,NA,64,0,0
2396,30,management,single,tertiary,cellular,835,yes,no,0,NA,81,0,0
2397,27,student,single,secondary,cellular,1411,no,no,0,NA,92,0,0
2398,58,management,married,tertiary,telephone,4606,no,no,0,NA,601,0,0
2399,32,technician,single,secondary,cellular,35,no,no,0,NA,199,0,0
2400,43,services,single,NA,NA,0,no,no,0,NA,73,0,0
2401,40,management,divorced,tertiary,NA,290,yes,no,0,NA,184,0,0
2402,36,blue-collar,married,secondary,cellular,402,no,yes,1,low,86,0,0
2403,45,technician,married,secondary,cellular,-149,yes,no,0,NA,287,0,0
2404,37,admin.,married,secondary,NA,0,yes,no,0,NA,26,0,0
2405,35,admin.,married,secondary,cellular,514,yes,no,1,NA,56,0,0
2406,37,management,divorced,tertiary,cellular,-1,yes,yes,1,low,101,0,0
2407,57,retired,single,secondary,NA,5305,no,no,0,NA,192,0,0
2408,37,technician,married,secondary,cellular,-3,no,no,0,NA,122,0,0
2409,31,management,married,tertiary,cellular,-6,no,no,0,NA,198,0,0
2410,47,admin.,married,secondary,cellular,769,yes,no,0,NA,151,0,0
2411,48,retired,married,primary,cellular,1591,no,no,0,NA,217,0,0
2412,32,technician,single,secondary,NA,258,no,no,0,NA,114,0,0
2413,27,student,single,secondary,telephone,833,no,no,0,NA,359,0,0
2414,56,management,divorced,tertiary,cellular,321,no,no,0,NA,49,0,0
2415,38,housemaid,married,secondary,cellular,333,yes,no,1,NA,606,0,0
2416,33,admin.,single,secondary,cellular,241,no,no,0,NA,490,0,0
2417,30,unemployed,married,primary,cellular,1787,no,no,0,NA,79,0,0
2418,34,housemaid,married,tertiary,cellular,11219,no,no,0,NA,112,0,0
2419,57,services,divorced,secondary,NA,-752,yes,no,0,NA,102,0,0
2420,52,technician,married,secondary,telephone,83,no,no,0,NA,135,0,0
2421,37,services,married,secondary,NA,-21,yes,yes,0,NA,61,0,0
2422,41,unemployed,single,secondary,telephone,315,yes,no,0,NA,28,0,0
2423,37,blue-collar,married,secondary,cellular,539,yes,yes,2,low,147,0,0
2424,32,technician,single,tertiary,cellular,741,yes,no,0,NA,238,0,0
2425,48,blue-collar,married,primary,NA,9004,no,no,0,NA,158,0,0
2426,52,management,married,secondary,cellular,4873,no,no,0,NA,99,0,0
2427,41,technician,married,secondary,NA,665,yes,no,0,NA,74,0,0
2428,43,admin.,divorced,secondary,NA,777,yes,no,0,NA,130,0,0
2429,26,technician,single,tertiary,NA,192,yes,no,0,NA,477,0,0
2430,33,blue-collar,married,primary,cellular,289,yes,no,4,low,309,0,0
2431,54,management,divorced,tertiary,cellular,3777,no,no,0,NA,56,0,0
2432,59,management,married,tertiary,cellular,1881,no,no,0,NA,456,0,0
2433,45,technician,divorced,secondary,cellular,5862,yes,no,3,NA,352,0,0
2434,41,blue-collar,divorced,secondary,cellular,927,yes,no,0,NA,343,0,0
2435,30,blue-collar,married,primary,NA,595,yes,no,0,NA,231,0,0
2436,34,admin.,married,secondary,NA,-312,yes,no,0,NA,232,0,0
2437,38,entrepreneur,married,secondary,cellular,15,yes,no,0,NA,121,0,0
2438,30,management,single,tertiary,cellular,35,no,no,0,NA,185,0,0
2439,46,blue-collar,married,primary,NA,530,yes,no,0,NA,739,0,0
2440,36,admin.,single,secondary,cellular,245,yes,no,0,NA,159,0,0
2441,29,blue-collar,married,primary,NA,1280,yes,no,0,NA,629,0,0
2442,33,admin.,married,secondary,NA,1499,yes,no,0,NA,144,0,0
2443,56,technician,married,primary,NA,314,yes,yes,0,NA,75,0,0
2444,30,admin.,married,secondary,NA,166,no,no,0,NA,30,0,0
2445,29,student,single,tertiary,cellular,1679,no,no,0,NA,485,0,0
2446,36,unemployed,married,primary,cellular,2347,yes,no,0,NA,5,0,0
2447,27,student,single,secondary,NA,298,yes,no,0,NA,52,0,0
2448,34,technician,married,tertiary,cellular,7050,no,no,0,NA,130,1678.58,0
2449,43,blue-collar,married,primary,cellular,46,yes,no,6,low,38,0,0
2450,46,blue-collar,married,primary,NA,-287,yes,no,0,NA,113,0,0
2451,42,blue-collar,married,NA,cellular,2906,no,no,0,NA,350,0,0
2452,58,entrepreneur,married,primary,cellular,124,yes,no,0,NA,293,0,0
2453,30,management,single,tertiary,cellular,67,no,no,0,NA,578,0,0
2454,39,entrepreneur,single,tertiary,cellular,1837,no,no,0,NA,199,0,0
2455,27,management,single,tertiary,NA,648,yes,yes,0,NA,174,0,0
2456,32,management,single,tertiary,cellular,12686,yes,no,1,low,176,0,0
2457,33,blue-collar,married,secondary,cellular,3458,yes,no,0,NA,54,0,0
2458,29,services,single,secondary,cellular,9,yes,no,0,NA,19,0,0
2459,52,entrepreneur,married,tertiary,NA,-184,yes,yes,0,NA,392,0,0
2460,48,services,married,secondary,cellular,665,yes,no,3,low,271,0,0
2461,32,technician,single,tertiary,cellular,360,no,no,0,NA,164,0,0
2462,44,blue-collar,married,secondary,NA,476,yes,no,0,NA,473,0,0
2463,29,technician,single,secondary,cellular,205,yes,no,3,low,218,0,0
2464,39,unemployed,married,tertiary,cellular,529,yes,yes,0,NA,673,0,0
2465,56,technician,married,secondary,cellular,778,no,no,1,low,315,0,0
2466,47,unemployed,married,primary,cellular,2290,yes,no,0,NA,274,0,0
2467,53,blue-collar,married,primary,cellular,0,yes,yes,0,NA,263,0,0
2468,32,management,single,tertiary,NA,3050,yes,no,0,NA,298,0,0
2469,50,admin.,married,secondary,cellular,106,no,yes,0,NA,59,0,0
2470,32,management,married,tertiary,cellular,663,no,yes,0,NA,62,0,0
2471,26,management,married,tertiary,cellular,3360,yes,no,0,NA,774,0,0
2472,45,NA,married,secondary,cellular,2119,no,no,0,NA,120,0,0
2473,58,retired,married,primary,cellular,4007,no,no,0,NA,598,0,0
2474,34,entrepreneur,married,primary,cellular,0,yes,no,0,NA,547,0,0
2475,39,management,divorced,tertiary,cellular,1968,no,no,0,NA,648,473.21,0
2476,38,management,married,secondary,cellular,124,no,no,0,NA,202,0,0
2477,32,services,married,secondary,cellular,580,yes,no,0,NA,69,0,0
2478,37,technician,married,NA,cellular,189,no,no,0,NA,162,294.96,0
2479,50,blue-collar,married,primary,NA,2590,yes,no,0,NA,257,0,0
2480,57,retired,married,primary,cellular,4908,no,no,0,NA,868,0,0
2481,31,services,married,secondary,cellular,338,yes,no,0,NA,155,0,0
2482,44,management,married,tertiary,cellular,1058,no,no,0,NA,188,467.32,0
2483,40,technician,married,secondary,cellular,1269,yes,no,1,low,353,0,0
2484,25,admin.,single,secondary,cellular,289,yes,no,0,NA,127,0,0
2485,53,blue-collar,divorced,primary,NA,2477,yes,no,0,NA,175,0,0
2486,31,admin.,single,tertiary,cellular,253,yes,no,4,low,82,0,0
2487,54,admin.,married,tertiary,cellular,19,no,no,0,NA,131,0,0
2488,31,management,single,secondary,cellular,1310,yes,no,0,NA,12,0,0
2489,58,retired,divorced,secondary,NA,0,no,no,0,NA,436,0,0
2490,31,management,married,secondary,cellular,-453,yes,yes,0,NA,157,0,0
2491,32,technician,single,secondary,NA,10,yes,no,0,NA,107,0,0
2492,35,self-employed,married,tertiary,cellular,137,no,no,0,NA,142,0,0
2493,58,retired,divorced,secondary,NA,219,no,no,0,NA,133,0,0
2494,59,housemaid,married,primary,telephone,0,no,yes,0,NA,40,0,0
2495,38,entrepreneur,married,secondary,NA,197,no,no,0,NA,979,0,0
2496,38,services,married,secondary,cellular,-768,yes,yes,0,NA,57,0,0
2497,42,housemaid,single,primary,cellular,206,no,yes,0,NA,148,0,0
2498,58,blue-collar,married,secondary,NA,0,no,no,0,NA,267,0,0
2499,34,technician,single,secondary,cellular,179,no,no,0,NA,294,0,0
2500,50,management,married,tertiary,cellular,253,no,no,0,NA,513,299.26,0
2501,34,blue-collar,married,secondary,NA,283,no,yes,0,NA,199,0,0
2502,52,admin.,married,secondary,cellular,799,no,no,0,NA,128,0,0
2503,32,management,married,tertiary,cellular,1232,no,no,0,NA,97,0,0
2504,54,management,married,primary,telephone,5787,no,no,0,NA,240,0,0
2505,39,blue-collar,married,primary,cellular,1433,yes,no,1,NA,182,0,0
2506,32,services,married,secondary,cellular,289,yes,no,2,low,63,0,0
2507,41,technician,single,tertiary,cellular,1646,yes,no,7,high,258,411.37,0
2508,43,technician,married,secondary,NA,50,no,no,0,NA,63,0,0
2509,35,management,married,tertiary,cellular,-10,yes,no,1,NA,168,0,0
2510,60,management,married,tertiary,cellular,-311,no,no,0,NA,151,0,0
2511,31,student,single,secondary,cellular,241,yes,no,0,NA,211,0,0
2512,46,blue-collar,married,secondary,cellular,123,no,no,0,NA,381,0,0
2513,34,technician,single,secondary,cellular,95,no,no,0,NA,119,0,0
2514,29,blue-collar,single,secondary,cellular,1296,yes,yes,1,NA,275,0,0
2515,37,unemployed,divorced,tertiary,cellular,1592,yes,no,0,NA,60,0,0
2516,35,blue-collar,married,secondary,cellular,0,yes,yes,0,NA,123,0,0
2517,42,technician,single,secondary,cellular,146,no,no,0,NA,229,0,0
2518,34,services,married,secondary,cellular,0,yes,no,0,NA,78,0,0
2519,47,NA,married,NA,cellular,677,no,no,4,high,384,0,0
2520,40,self-employed,married,tertiary,NA,1603,no,no,0,NA,279,0,0
2521,34,admin.,married,tertiary,cellular,788,yes,no,0,NA,269,0,0
2522,42,entrepreneur,married,tertiary,telephone,2249,yes,no,5,low,228,0,0
2523,25,technician,single,tertiary,cellular,0,yes,no,0,NA,80,0,0
2524,58,retired,married,secondary,cellular,1172,no,no,0,NA,86,0,0
2525,31,services,single,tertiary,NA,1025,no,no,0,NA,72,0,0
2526,21,technician,single,secondary,cellular,64,yes,no,0,NA,16,0,0
2527,41,management,married,secondary,cellular,456,yes,no,0,NA,734,362.35,0
2528,56,technician,single,secondary,cellular,751,yes,no,5,low,43,0,0
2529,44,admin.,divorced,secondary,cellular,4842,no,no,0,NA,322,0,0
2530,42,services,divorced,secondary,cellular,257,yes,no,0,NA,955,285.44,0
2531,37,technician,single,tertiary,NA,31,yes,no,0,NA,72,0,0
2532,40,services,single,tertiary,NA,8823,yes,no,0,NA,378,0,0
2533,37,blue-collar,married,primary,NA,1779,yes,no,0,NA,34,0,0
2534,48,blue-collar,married,secondary,cellular,244,yes,yes,0,NA,212,0,0
2535,33,technician,single,secondary,cellular,31,no,yes,0,NA,131,0,0
2536,56,admin.,married,NA,cellular,1784,no,no,0,NA,71,0,0
2537,33,management,single,tertiary,cellular,935,no,no,8,high,385,354.44,0
2538,31,management,single,tertiary,cellular,4247,no,no,0,NA,131,0,0
2539,52,technician,married,secondary,telephone,64,no,no,0,NA,20,0,0
2540,34,admin.,single,secondary,NA,0,yes,no,0,NA,150,0,0
2541,32,management,single,tertiary,cellular,47,no,no,0,NA,133,0,0
2542,38,blue-collar,divorced,secondary,cellular,226,yes,no,0,NA,167,0,0
2543,34,blue-collar,married,secondary,cellular,2994,yes,no,1,low,358,0,0
2544,32,blue-collar,single,secondary,cellular,2142,no,no,0,NA,406,0,0
2545,60,housemaid,married,primary,cellular,182,no,no,11,low,182,0,0
2546,37,admin.,married,secondary,NA,-356,no,yes,0,NA,49,0,0
2547,49,technician,married,secondary,cellular,4772,no,no,0,NA,157,0,0
2548,33,self-employed,married,tertiary,cellular,980,no,no,0,NA,170,0,0
2549,38,services,married,tertiary,cellular,658,no,no,0,NA,328,0,0
2550,32,management,single,tertiary,cellular,0,yes,no,0,NA,370,236.24,0
2551,27,blue-collar,single,secondary,cellular,137,no,yes,0,NA,359,0,0
2552,34,admin.,single,secondary,NA,7,no,no,0,NA,285,0,0
2553,33,admin.,divorced,tertiary,cellular,891,no,no,0,NA,398,335.62,0
2554,32,housemaid,divorced,secondary,cellular,0,yes,no,0,NA,93,0,0
2555,35,technician,single,secondary,NA,1,no,no,0,NA,66,0,0
2556,45,services,married,secondary,cellular,507,no,yes,0,NA,304,0,0
2557,41,services,married,secondary,cellular,6687,yes,no,3,low,41,0,0
2558,38,entrepreneur,married,secondary,NA,680,yes,no,0,NA,144,0,0
2559,29,services,single,secondary,NA,703,yes,no,0,NA,129,0,0
2560,32,management,married,tertiary,cellular,3,yes,no,0,NA,22,0,0
2561,49,management,single,tertiary,cellular,493,no,no,1,low,161,0,0
2562,46,blue-collar,married,primary,cellular,327,no,yes,0,NA,145,0,0
2563,58,management,married,secondary,telephone,-382,no,no,12,high,398,0,0
2564,50,blue-collar,married,secondary,cellular,-812,no,yes,0,NA,8,0,0
2565,27,management,single,tertiary,cellular,338,no,yes,0,NA,535,0,0
2566,38,services,single,primary,cellular,-87,yes,no,0,NA,531,0,0
2567,41,management,married,tertiary,cellular,326,yes,no,0,NA,788,318.68,0
2568,52,self-employed,married,tertiary,cellular,583,yes,no,0,NA,132,0,0
2569,32,blue-collar,married,secondary,cellular,119,no,no,0,NA,20,0,0
2570,46,blue-collar,married,secondary,cellular,0,yes,no,0,NA,264,0,0
2571,31,management,single,tertiary,cellular,3981,yes,no,0,NA,286,0,0
2572,37,blue-collar,married,secondary,NA,77,yes,no,0,NA,381,0,0
2573,57,blue-collar,married,primary,telephone,93,yes,no,0,NA,137,0,0
2574,47,blue-collar,married,NA,cellular,170,yes,no,0,NA,175,0,0
2575,35,management,married,tertiary,cellular,3161,no,no,0,NA,433,0,0
2576,37,admin.,married,secondary,cellular,121,no,no,0,NA,22,0,0
2577,21,admin.,single,secondary,NA,325,yes,no,0,NA,467,0,0
2578,57,blue-collar,married,primary,NA,1502,yes,no,0,NA,269,0,0
2579,49,housemaid,divorced,primary,NA,164,yes,no,0,NA,1080,0,0
2580,48,admin.,married,secondary,cellular,344,no,no,2,NA,364,0,0
2581,50,technician,married,tertiary,NA,247,no,no,0,NA,173,0,0
2582,24,technician,single,secondary,cellular,393,yes,yes,0,NA,714,0,0
2583,38,self-employed,married,tertiary,NA,585,yes,no,0,NA,34,0,0
2584,31,admin.,single,secondary,cellular,6981,yes,no,0,NA,627,0,0
2585,29,services,single,secondary,NA,20,yes,no,0,NA,431,0,0
2586,33,management,married,tertiary,NA,455,yes,yes,0,NA,122,0,0
2587,57,retired,married,primary,cellular,3288,no,no,0,NA,186,0,0
2588,41,management,married,tertiary,telephone,9935,no,no,0,NA,49,0,0
2589,31,admin.,married,secondary,cellular,941,yes,no,0,NA,213,0,0
2590,25,services,single,secondary,cellular,-41,no,yes,0,NA,114,0,0
2591,35,blue-collar,married,secondary,NA,499,yes,no,0,NA,328,0,0
2592,30,technician,single,tertiary,cellular,655,no,no,2,high,212,307.93,0
2593,46,services,married,secondary,cellular,2948,no,no,0,NA,893,854.83,0
2594,21,student,single,primary,NA,281,no,no,0,NA,11,0,0
2595,52,admin.,married,secondary,cellular,3422,no,no,0,NA,168,0,0
2596,32,services,single,secondary,cellular,-23,no,no,1,low,185,0,0
2597,35,entrepreneur,married,primary,cellular,25,no,yes,0,NA,236,0,0
2598,32,admin.,single,secondary,NA,184,yes,no,0,NA,230,0,0
2599,46,management,single,secondary,cellular,5993,no,no,1,low,159,0,0
2600,33,blue-collar,married,primary,cellular,149,yes,no,0,NA,21,0,0
2601,36,blue-collar,divorced,secondary,cellular,313,yes,yes,0,NA,264,0,0
2602,62,retired,married,secondary,cellular,569,no,no,8,high,288,367.24,0
2603,60,admin.,divorced,secondary,telephone,12039,no,no,0,NA,236,1450.33,0
2604,37,services,divorced,secondary,cellular,490,yes,no,0,NA,73,0,0
2605,38,technician,married,secondary,cellular,710,yes,no,3,low,196,0,0
2606,51,technician,married,secondary,cellular,0,no,yes,0,NA,68,0,0
2607,30,management,single,tertiary,cellular,685,no,no,0,NA,299,0,0
2608,27,technician,single,secondary,NA,357,yes,no,0,NA,382,0,0
2609,35,self-employed,single,tertiary,cellular,71,no,no,0,NA,651,243.76,0
2610,25,management,single,tertiary,cellular,490,no,no,0,NA,394,0,0
